chr	start	stop
NOC2L	chr1	944203	959309
HES4	chr1	998962	1000172
ISG15	chr1	1001138	1014540
AGRN	chr1	1020120	1056118
TNFRSF4	chr1	1211340	1214153
SDF4	chr1	1216908	1232067
UBE2J2	chr1	1253909	1273864
AURKAIP1	chr1	1373730	1375495
CCNL2	chr1	1385711	1399335
MRPL20	chr1	1401909	1407293
ANKRD65	chr1	1418420	1421769
VWA1	chr1	1434861	1442882
SSU72	chr1	1541673	1574863
CDK11B	chr1	1635227	1659012
CDK11A	chr1	1702379	1724357
GNB1	chr1	1785285	1891117
SKI	chr1	2228319	2310213
RER1	chr1	2391775	2405442
SMIM1	chr1	3772655	3775982
RPL22	chr1	6185020	6209389
ESPN	chr1	6424776	6461367
CAMTA1	chr1	6785454	7769706
VAMP3	chr1	7771296	7781432
PARK7	chr1	7954291	7985505
ERRFI1	chr1	8004404	8026309
RERE	chr1	8352397	8848921
ENO1	chr1	8861000	8879190
H6PD	chr1	9234774	9271337
SLC25A33	chr1	9539465	9585173
CLSTN1	chr1	9728926	9823984
CTNNBIP1	chr1	9848276	9910336
RBP7	chr1	9997206	10016021
PGD	chr1	10398592	10420511
DFFA	chr1	10456522	10472529
TARDBP	chr1	11012344	11025739
MASP2	chr1	11026523	11047239
SRM	chr1	11054584	11060020
FBXO2	chr1	11637018	11655785
MAD2L2	chr1	11674480	11691650
KIAA2013	chr1	11919591	11926428
PLOD1	chr1	11934205	11975538
MFN2	chr1	11980181	12015211
DHRS3	chr1	12567910	12618210
EFHD2	chr1	15409888	15430339
SPEN	chr1	15836095	15940456
SZRD1	chr1	16352575	16398145
NECAP2	chr1	16440721	16460078
NBPF1	chr1	16562319	16613562
CROCCP2	chr1	16618253	16657232
SDHB	chr1	17018722	17054032
ALDH4A1	chr1	18871430	18902724
AKR7A3	chr1	19282573	19288770
AKR7A2	chr1	19303965	19312146
CAPZB	chr1	19338775	19485539
PLA2G2A	chr1	19975431	19980416
CAMK2N1	chr1	20482391	20486210
PINK1	chr1	20633458	20651511
DDOST	chr1	20651767	20661544
HP1BP3	chr1	20740266	20787323
EIF4G3	chr1	20806292	21176888
ECE1	chr1	21217247	21345572
USP48	chr1	21678298	21783606
HSPG2	chr1	21822244	21937310
CDC42	chr1	22025511	22101360
C1QA	chr1	22636628	22639678
C1QC	chr1	22643633	22648110
C1QB	chr1	22652762	22661637
LUZP1	chr1	23084023	23177808
RPL11	chr1	23691742	23696835
PITHD1	chr1	23778418	23788232
LYPLA2	chr1	23791145	23795539
GALE	chr1	23795599	23800781
HMGCL	chr1	23801885	23838620
FUCA1	chr1	23845077	23868290
SRRM1	chr1	24631716	24673281
CLIC4	chr1	24745382	24844321
SYF2	chr1	25222276	25232502
TMEM50A	chr1	25338317	25362361
STMN1	chr1	25884181	25906991
ZNF593	chr1	26169908	26170873
SH3BGRL3	chr1	26280086	26281522
CD52	chr1	26317958	26320523
HMGN2	chr1	26472440	26476642
ARID1A	chr1	26693236	26782104
NUDC	chr1	26900238	26946871
